"fit","x","y","z"
0.174438823239,-1.28,-1.96,-1.22241795950145
0.158856294403307,-1.04,-1.96,-1.22241795950145
0.143720015095187,-0.8,-1.96,-1.22241795950145
0.129030194780203,-0.56,-1.96,-1.22241795950145
0.114788109548194,-0.32,-1.96,-1.22241795950145
0.100995910499718,-0.0800000000000001,-1.96,-1.22241795950145
0.0876561226312492,0.16,-1.96,-1.22241795950145
0.0747711179260873,0.4,-1.96,-1.22241795950145
0.0623427271817079,0.64,-1.96,-1.22241795950145
0.201950066532886,-1.52,-1.7,-1.22241795950145
0.186214485218372,-1.28,-1.7,-1.22241795950145
0.170925450043322,-1.04,-1.7,-1.22241795950145
0.156082038985901,-0.8,-1.7,-1.22241795950145
0.141684248332367,-0.56,-1.7,-1.22241795950145
0.127733419077387,-0.32,-1.7,-1.22241795950145
0.114232045791291,-0.0800000000000001,-1.7,-1.22241795950145
0.101183146087145,0.16,-1.7,-1.22241795950145
0.0885895691062608,0.4,-1.7,-1.22241795950145
0.0764534757114106,0.64,-1.7,-1.22241795950145
0.0647760375361669,0.88,-1.7,-1.22241795950145
0.0535574553700426,1.12,-1.7,-1.22241795950145
0.0427971515025914,1.36,-1.7,-1.22241795950145
0.0324940149264161,1.6,-1.7,-1.22241795950145
0.0226466580894277,1.84,-1.7,-1.22241795950145
0.211664469754743,-1.52,-1.44,-1.22241795950145
0.196222931122307,-1.28,-1.44,-1.22241795950145
0.181227871353768,-1.04,-1.44,-1.22241795950145
0.166678003688803,-0.8,-1.44,-1.22241795950145
0.152573019837576,-0.56,-1.44,-1.22241795950145
0.13891419881614,-0.32,-1.44,-1.22241795950145
0.125704274927775,-0.0800000000000001,-1.44,-1.22241795950145
0.11294674168625,0.16,-1.44,-1.22241795950145
0.100644980785689,0.4,-1.44,-1.22241795950145
0.0888015360093448,0.64,-1.44,-1.22241795950145
0.0774176913417743,0.88,-1.44,-1.22241795950145
0.0664935309786231,1.12,-1.44,-1.22241795950145
0.0560281982191611,1.36,-1.44,-1.22241795950145
0.0460202392655263,1.6,-1.44,-1.22241795950145
0.0364679485209231,1.84,-1.44,-1.22241795950145
0.0273696295388267,2.08,-1.44,-1.22241795950145
0.0187237630378854,2.32,-1.44,-1.22241795950145
0.0105290976249329,2.56,-1.44,-1.22241795950145
0.00278468288725311,2.8,-1.44,-1.22241795950145
0.219611659473312,-1.52,-1.18,-1.22241795950145
0.204464345973927,-1.28,-1.18,-1.22241795950145
0.189763674778773,-1.04,-1.18,-1.22241795950145
0.175508041512257,-0.8,-1.18,-1.22241795950145
0.161696776080445,-0.56,-1.18,-1.22241795950145
0.148330954934874,-0.32,-1.18,-1.22241795950145
0.135413415406417,-0.0800000000000001,-1.18,-1.22241795950145
0.122948035587042,0.16,-1.18,-1.22241795950145
0.11093870010078,0.4,-1.18,-1.22241795950145
0.0993883318933524,0.64,-1.18,-1.22241795950145
0.0882983758965241,0.88,-1.18,-1.22241795950145
0.0776688277855329,1.12,-1.18,-1.22241795950145
0.0674985227460217,1.36,-1.18,-1.22241795950145
0.0577856401579247,1.6,-1.18,-1.22241795950145
0.0485281563368643,1.84,-1.18,-1.22241795950145
0.0397241453753354,2.08,-1.18,-1.22241795950145
0.0313719541782581,2.32,-1.18,-1.22241795950145
0.023470281494593,2.56,-1.18,-1.22241795950145
0.0160181934704664,2.8,-1.18,-1.22241795950145
0.0090150960800201,3.04,-1.18,-1.22241795950145
0.00246067473753368,3.28,-1.18,-1.22241795950145
-0.00364517616546277,3.52,-1.18,-1.22241795950145
-0.00930240813870235,3.76,-1.18,-1.22241795950145
-0.0145108526594493,4,-1.18,-1.22241795950145
0.225792484131443,-1.52,-0.92,-1.22241795950145
0.210939527330285,-1.28,-0.92,-1.22241795950145
0.196533505056979,-1.04,-0.92,-1.22241795950145
0.182572594775013,-0.8,-0.92,-1.22241795950145
0.169055829809305,-0.56,-0.92,-1.22241795950145
0.155984038328109,-0.32,-0.92,-1.22241795950145
0.143360026237362,-0.0800000000000001,-0.92,-1.22241795950145
0.131187874203024,0.16,-0.92,-1.22241795950145
0.119471823719155,0.4,-0.92,-1.22241795950145
0.108215114452287,0.64,-0.92,-1.22241795950145
0.0974193504887661,0.88,-0.92,-1.22241795950145
0.0870844543071612,1.12,-0.92,-1.22241795950145
0.0772089809906436,1.36,-0.92,-1.22241795950145
0.0677907749237929,1.6,-0.92,-1.22241795950145
0.058827535455125,1.84,-0.92,-1.22241795950145
0.0503171516273318,2.08,-0.92,-1.22241795950145
0.042257882425257,2.32,-0.92,-1.22241795950145
0.0346484192813649,2.56,-0.92,-1.22241795950145
0.0274878836151931,2.8,-0.92,-1.22241795950145
0.0207757789760981,3.04,-0.92,-1.22241795950145
0.0145119056047465,3.28,-0.92,-1.22241795950145
0.00869627045767077,3.52,-0.92,-1.22241795950145
0.00332902127548435,3.76,-0.92,-1.22241795950145
-0.00158959184537737,4,-0.92,-1.22241795950145
-0.00605924166268005,4.24,-0.92,-1.22241795950145
-0.0100795587523859,4.48,-0.92,-1.22241795950145
-0.0136502005298786,4.72,-0.92,-1.22241795950145
0.230207943368487,-1.52,-0.66,-1.22241795950145
0.215649410680654,-1.28,-0.66,-1.22241795950145
0.201538137620116,-1.04,-0.66,-1.22241795950145
0.187872188198506,-0.8,-0.66,-1.22241795950145
0.17465045234612,-0.56,-0.66,-1.22241795950145
0.161873600504864,-0.32,-0.66,-1.22241795950145
0.149544300207153,-0.0800000000000001,-0.66,-1.22241795950145
0.137666631739473,0.16,-0.66,-1.22241795950145
0.126244952228085,0.4,-0.66,-1.22241795950145
0.115282653625319,0.64,-0.66,-1.22241795950145
0.104781409287517,0.88,-0.66,-1.22241795950145
0.09474104567841,1.12,-0.66,-1.22241795950145
0.0851599239670824,1.36,-0.66,-1.22241795950145
0.0760356640992207,1.6,-0.66,-1.22241795950145
0.0673657845793152,1.84,-0.66,-1.22241795950145
0.0591480646539783,2.08,-0.66,-1.22241795950145
0.0513807309989482,2.32,-0.66,-1.22241795950145
0.0440625124780756,2.56,-0.66,-1.22241795950145
0.0371926285595057,2.8,-0.66,-1.22241795950145
0.0307707140689635,3.04,-0.66,-1.22241795950145
0.0247967017123771,3.28,-0.66,-1.22241795950145
0.0192707167748144,3.52,-0.66,-1.22241795950145
0.0141930037807317,3.76,-0.66,-1.22241795950145
0.00956388116678919,4,-0.66,-1.22241795950145
0.00538371619781218,4.24,-0.66,-1.22241795950145
0.0016529031174062,4.48,-0.66,-1.22241795950145
-0.00162818659956377,4.72,-0.66,-1.22241795950145
-0.00445926636935618,4.96,-0.66,-1.22241795950145
-0.00684014000645149,5.2,-0.66,-1.22241795950145
0.232858790762742,-1.52,-0.4,-1.22241795950145
0.218594620589451,-1.28,-0.4,-1.22241795950145
0.204778064016625,-1.04,-0.4,-1.22241795950145
0.191407175061088,-0.8,-0.4,-1.22241795950145
0.178480848828115,-0.56,-0.4,-1.22241795950145
0.16599970401384,-0.32,-0.4,-1.22241795950145
0.153966249323461,-0.0800000000000001,-0.4,-1.22241795950145
0.142384368277113,0.16,-0.4,-1.22241795950145
0.131258243718669,0.4,-0.4,-1.22241795950145
0.120591145877806,0.64,-0.4,-1.22241795950145
0.110384664935423,0.88,-0.4,-1.22241795950145
0.100638522389116,1.12,-0.4,-1.22241795950145
0.0913509897369868,1.36,-0.4,-1.22241795950145
0.0825196265226503,1.6,-0.4,-1.22241795950145
0.0741419205901031,1.84,-0.4,-1.22241795950145
0.0662156530765601,2.08,-0.4,-1.22241795950145
0.0587390788223775,2.32,-0.4,-1.22241795950145
0.0517110119332182,2.56,-0.4,-1.22241795950145
0.0451308158876658,2.8,-0.4,-1.22241795950145
0.0389982846943128,3.04,-0.4,-1.22241795950145
0.0333134861374673,3.28,-0.4,-1.22241795950145
0.0280766544707711,3.52,-0.4,-1.22241795950145
0.0232881168287051,3.76,-0.4,-1.22241795950145
0.0189482392150827,4,-0.4,-1.22241795950145
0.0150573961750565,4.24,-0.4,-1.22241795950145
